age,monthly_income,monthly_expenses,existing_loan_amount,existing_monthly_debt_payment,employment_status,employment_duration,credit_score,bank_balance,missed_payments,requested_loan_amount,requested_loan_duration
68,6891,3139,10905,2578,self_employed,16,697,28867,1,28853,12
39,7009,4770,3031,2763,self_employed,42,322,36404,2,43982,12
65,4948,5167,38775,2667,employed,28,323,29126,3,52927,36
38,10281,2705,24386,1337,self_employed,61,760,35516,0,8224,12
44,7353,5329,42331,1327,employed,61,686,25451,1,23718,18
28,8828,3611,22767,3007,employed,104,637,35708,0,32534,12
25,4997,6307,4414,4092,self_employed,60,306,37685,1,55826,18
69,5174,5657,11646,5066,self_employed,30,518,47878,4,47721,6
66,7783,4995,13804,3759,self_employed,5,636,41883,0,31123,12
38,6436,5027,24461,5983,self_employed,112,461,19677,2,39454,36
34,9541,3987,45425,1228,self_employed,115,633,27269,1,24263,36
39,6200,5883,24453,1179,employed,30,637,1277,1,29248,18
31,13485,2113,21853,1697,employed,91,771,23036,0,24921,24
53,6021,3104,5257,1266,employed,35,696,10651,0,23359,24
32,5563,3067,49154,2526,employed,25,355,47307,1,32282,36
67,18771,5025,16978,1579,employed,18,747,32833,0,5722,36
22,19415,5272,35388,482,self_employed,14,801,36271,0,13133,12
25,6678,5075,33477,1950,self_employed,38,651,20274,1,29194,36
69,13348,5557,16654,1065,self_employed,58,811,4526,0,12672,36
48,7391,3931,27645,5188,employed,102,393,3763,3,39652,24
30,6094,5612,3933,2737,self_employed,47,658,40367,0,15697,12
62,10361,5012,20379,2556,employed,77,681,43214,0,38941,12
66,7333,6944,18540,3417,employed,66,587,29192,1,52520,36
67,8384,3355,23959,2145,self_employed,30,618,24940,1,24966,18
45,10432,3464,29920,2106,employed,119,667,35582,0,38447,36
60,7432,6502,47343,2768,self_employed,4,428,18952,2,28255,6
37,6908,4123,31407,3420,employed,104,361,12110,3,28060,24
32,6521,3447,37608,1769,employed,37,623,32299,1,35827,6
64,12155,3371,21980,1724,employed,9,718,30231,0,19348,36
61,8657,5537,36587,1375,employed,100,693,36196,1,22849,12
59,6399,5248,17875,1300,employed,75,641,38291,1,23330,12
66,16335,3101,13790,1744,self_employed,64,797,13187,0,29205,6
33,16075,4571,11325,507,employed,75,848,8297,0,25632,6
51,8952,4939,9372,1396,employed,71,651,2192,1,28463,18
24,6175,3963,28823,5890,employed,69,403,18011,3,26925,18
52,8739,3344,34949,1484,self_employed,11,662,29390,0,28461,24
21,16570,3208,20196,853,self_employed,73,769,38784,0,8580,18
62,10566,3266,16392,3571,self_employed,14,696,32615,1,33313,24
62,3757,4542,17291,3170,employed,49,460,29087,3,54076,36
45,6731,3058,28803,3338,self_employed,22,325,24362,4,45153,36
64,15565,4493,21459,742,employed,80,798,32175,0,11224,36
68,8340,6654,41698,1451,self_employed,38,637,11109,1,27751,12
66,8501,5143,25188,3821,employed,28,610,10291,0,21082,12
25,8040,4154,37835,3098,self_employed,4,664,42212,1,21462,36
31,7661,5440,11270,5205,employed,112,547,29888,1,41406,18
52,5306,6190,3298,4109,self_employed,6,322,47266,1,59171,36
35,11035,5917,21572,3002,employed,76,669,33100,1,37501,6
25,7952,5106,34759,3640,self_employed,114,689,44991,0,37139,36
22,7364,6388,2317,3625,self_employed,14,481,44366,4,37701,18
21,15571,5783,19736,1902,employed,8,725,47080,0,6312,24
23,16186,3447,47273,494,employed,49,820,41254,0,9359,12
63,10649,4718,36256,2578,self_employed,53,634,21296,0,18679,18
20,11368,5839,8166,118,self_employed,120,838,35714,0,20553,12
24,7935,4602,7462,3840,self_employed,33,533,31351,2,48198,24
37,8888,6266,27645,1372,self_employed,87,694,3715,1,21860,6
48,3753,3704,16520,5050,employed,107,385,15829,4,45757,36
21,9631,6338,42708,3171,self_employed,11,692,19871,0,17514,6
21,17330,2350,3185,1663,self_employed,32,847,48750,0,10934,6
42,14379,3550,12008,622,self_employed,64,790,39784,0,11666,6
65,7758,4786,11141,2407,self_employed,106,641,29159,0,24911,6
26,6940,3789,24998,3701,self_employed,37,554,4972,1,51747,18
26,6337,3077,40603,2657,self_employed,63,656,14429,0,37767,24
50,12450,3554,46299,1419,self_employed,26,755,15729,0,20827,36
20,3813,4116,25329,4411,self_employed,56,445,26714,3,53525,18
31,4942,4565,20483,2298,employed,53,498,6457,2,36816,24
51,5638,4710,15629,2832,self_employed,1,497,48036,4,36753,24
29,5331,4696,16507,5289,self_employed,115,373,2251,2,49608,36
23,6609,4188,6814,3095,employed,46,523,23949,4,56004,18
28,5717,5893,23833,3543,employed,96,568,45174,1,52625,12
62,4649,5463,46857,2665,self_employed,55,447,20193,2,34931,36
33,3201,4982,26039,2489,self_employed,117,474,3781,2,50953,36
59,19168,2103,12405,279,employed,119,782,38852,0,21930,18
69,12753,3246,15632,1891,employed,9,701,16864,0,18299,24
51,11359,5299,48505,3454,self_employed,42,661,12560,1,19050,36
22,10715,5304,14361,1091,self_employed,9,605,27930,1,29027,6
43,8163,4304,21189,1128,self_employed,30,698,17814,1,18480,18
49,8686,6891,47301,2591,employed,32,618,39220,0,27432,24
66,7342,3959,14884,1700,employed,52,660,37105,1,37462,36
44,4242,5325,5854,5276,self_employed,39,599,26614,4,41280,12
50,5128,5032,3664,4243,self_employed,87,413,43147,2,51510,36
59,14778,4143,33986,1114,self_employed,97,814,12122,0,8688,12
32,3905,4906,26954,2168,employed,51,589,47418,3,56056,6
32,10217,3255,20349,3344,self_employed,69,695,25932,0,38344,24
20,17764,5360,43287,226,employed,15,750,24034,0,23142,6
56,8205,6646,24966,3266,self_employed,28,652,28991,0,37316,24
52,11295,3690,49308,1974,employed,74,844,35441,0,21427,12
64,9904,5336,6134,2859,self_employed,116,683,3658,1,34736,12
59,9813,4932,24142,3276,self_employed,4,639,36749,1,22961,36
52,6126,6792,42514,2837,self_employed,98,658,29699,1,24146,12
56,17254,4893,42253,1327,employed,78,776,6989,0,6484,6
24,5818,5070,24232,4969,employed,29,344,39664,3,37732,12
31,10715,4052,4900,1364,employed,27,820,18913,0,5410,12
42,18894,4040,27080,1352,self_employed,117,779,47771,0,20179,18
47,3095,6998,6433,2314,self_employed,56,512,40120,1,26555,18
59,3522,5477,49756,5079,employed,88,515,39627,4,25412,36
20,6134,3718,41440,1333,self_employed,44,612,47367,1,17023,18
34,11498,5665,15105,3992,employed,97,687,35816,1,39500,18
63,14987,4815,20113,289,self_employed,79,747,15056,0,13498,6
53,7367,5761,47380,3686,employed,82,564,42630,4,48457,24
47,19770,4185,7600,1174,employed,61,737,42208,0,5497,12
